department,allocation_group,allocation
SB,0,7
CC,0,5
CO,0,7
LA,0,18
SM,0,6
SI,0,7
PP,0,0
SB,1,8
CC,1,5
CO,1,7
LA,1,17
SM,1,6
SI,1,7
PP,1,0
SB,2,8
CC,2,5
CO,2,7
LA,2,17
SM,2,6
SI,2,7
PP,2,0
SB,3,7
CC,3,5
CO,3,7
LA,3,18
SM,3,6
SI,3,7
PP,3,0
SB,4,8
CC,4,5
CO,4,6
LA,4,18
SM,4,6
SI,4,7
PP,4,0
SB,5,7
CC,5,5
CO,5,6
LA,5,18
SM,5,6
SI,5,8
PP,5,0
SB,6,8
CC,6,5
CO,6,6
LA,6,18
SM,6,6
SI,6,7
PP,6,0
SB,7,8
CC,7,5
CO,7,6
LA,7,18
SM,7,6
SI,7,8
PP,7,0
SB,8,7
CC,8,5
CO,8,7
LA,8,18
SM,8,6
SI,8,7
PP,8,0
SB,9,8
CC,9,5
CO,9,6
LA,9,18
SM,9,6
SI,9,7
PP,9,0
SB,10,8
CC,10,5
CO,10,7
LA,10,17
SM,10,6
SI,10,7
PP,10,0
SB,11,8
CC,11,5
CO,11,7
LA,11,17
SM,11,6
SI,11,7
PP,11,0
SB,12,7
CC,12,6
CO,12,7
LA,12,18
SM,12,6
SI,12,6
PP,12,0
SB,13,8
CC,13,6
CO,13,7
LA,13,17
SM,13,6
SI,13,6
PP,13,0
SB,14,8
CC,14,6
CO,14,7
LA,14,17
SM,14,6
SI,14,6
PP,14,0
SB,15,8
CC,15,6
CO,15,7
LA,15,17
SM,15,6
SI,15,6
PP,15,0
SB,16,12
CC,16,7
CO,16,3
LA,16,9
SM,16,11
SI,16,4
PP,16,1
SB,17,13
CC,17,6
CO,17,3
LA,17,9
SM,17,10
SI,17,5
PP,17,1
SB,18,13
CC,18,7
CO,18,3
LA,18,8
SM,18,11
SI,18,4
PP,18,1
SB,19,13
CC,19,7
CO,19,3
LA,19,9
SM,19,10
SI,19,4
PP,19,1